Year,Month,Day,Hour,Minute,Processing_class,death_toll,Injuries_Person,Vehicle_type,Sex,Age,Weather,Speed_limit,Road_pattern,Accident_location
103,1,24,11,42,2,0,1,B03,1,37,8,50,4,1
103,1,24,11,42,2,0,1,H01,2,74,8,50,4,1
103,1,11,18,17,2,0,2,C03,1,34,8,50,14,9
103,1,11,18,17,2,0,2,F01,2,60,8,50,14,9
103,1,11,18,17,2,0,2,H02,1,,8,50,14,9
103,2,20,9,15,2,0,1,C03,1,,8,50,5,3
103,2,20,9,15,2,0,1,C03,2,24,8,50,5,3
103,1,11,18,20,2,0,1,C03,2,45,8,50,3,1
103,1,11,18,20,2,0,1,C03,1,19,8,50,3,1
103,1,19,23,30,2,0,2,C03,1,59,8,40,8,11
103,1,19,23,30,2,0,2,F01,1,49,8,40,8,11
103,2,1,23,26,2,0,2,B01,1,41,8,50,4,1
103,2,1,23,26,2,0,2,C03,1,17,8,50,4,1
103,2,1,23,26,2,0,2,H02,2,15,8,50,4,1
103,2,9,21,5,2,0,1,C03,1,,6,50,4,2
103,2,9,21,5,2,0,1,C03,2,20,6,50,4,2
103,2,6,10,4,2,0,1,B01,1,54,7,50,3,1
103,2,6,10,4,2,0,1,C03,1,58,7,50,3,1
103,2,17,20,55,2,0,2,C03,1,49,7,50,3,1
103,2,17,20,55,2,0,2,C03,1,31,7,50,3,1
103,2,18,23,19,2,0,1,B03,2,42,6,50,4,1
103,2,18,23,19,2,0,1,C03,1,18,6,50,4,1
103,1,5,10,35,2,0,2,G06,1,,8,50,4,2
103,1,5,10,35,2,0,2,C03,1,18,8,50,4,2
103,1,5,10,35,2,0,2,B03,1,34,8,50,4,2
103,1,5,10,35,2,0,2,H02,2,23,8,50,4,2
103,1,10,18,35,2,0,2,C03,1,62,7,50,3,1
103,1,10,18,35,2,0,2,C03,1,25,7,50,3,1
103,1,10,18,35,2,0,2,B03,1,40,7,50,3,1
103,1,10,21,0,2,0,2,B03,1,69,8,50,14,7
103,1,10,21,0,2,0,2,B03,1,53,8,50,14,7
103,1,10,21,0,2,0,2,H02,2,41,8,50,14,7
103,1,20,20,50,2,0,1,B03,1,36,7,50,4,1
103,1,20,20,50,2,0,1,C03,1,40,7,50,4,1
103,2,3,16,50,2,0,2,C03,1,65,8,50,3,1
103,2,3,16,50,2,0,2,C03,1,18,8,50,3,1
103,1,21,15,45,2,0,2,C03,1,53,7,40,4,1
103,1,21,15,45,2,0,2,C03,1,19,7,40,4,1
103,1,11,11,10,2,0,1,B12,1,23,8,50,3,1
103,1,11,11,10,2,0,1,C03,2,30,8,50,3,1
103,1,10,22,45,2,0,2,C03,1,22,8,50,4,1
103,1,10,22,45,2,0,2,C03,1,31,8,50,4,1
103,1,8,22,29,2,0,1,B01,1,56,6,50,14,9
103,1,8,22,29,2,0,1,C03,1,18,6,50,14,9
103,1,7,16,3,2,0,1,F01,1,44,8,30,13,22
103,1,7,16,3,2,0,1,H01,2,76,8,30,13,22
103,1,8,17,16,2,0,2,C03,2,20,6,50,5,3
103,1,8,17,16,2,0,2,H01,1,43,6,50,5,3
103,1,13,19,50,2,0,1,A11,1,,7,50,14,8
103,1,13,19,50,2,0,1,A04,1,24,7,50,14,8
103,1,14,12,8,2,0,1,B12,1,102,6,50,3,9
103,1,14,12,8,2,0,1,C03,2,39,6,50,3,9
103,1,22,19,55,2,0,3,C03,2,38,7,50,14,11
103,1,22,19,55,2,0,3,C03,1,19,7,50,14,11
103,1,22,19,55,2,0,3,C03,1,29,7,50,14,11
103,1,22,19,55,2,0,3,G06,1,,7,50,14,11
103,1,22,19,55,2,0,3,H02,2,16,7,50,14,11
103,1,19,13,10,2,0,1,B03,1,35,8,50,4,1
103,1,19,13,10,2,0,1,C03,1,22,8,50,4,1
103,1,27,13,56,2,0,1,B01,1,33,8,50,14,9
103,1,27,13,56,2,0,1,C03,1,24,8,50,14,9
103,1,27,16,38,2,0,2,C03,1,40,8,40,4,1
103,1,27,16,38,2,0,2,C03,2,20,8,40,4,1
103,1,2,18,50,2,0,1,B01,1,53,7,50,4,1
103,1,2,18,50,2,0,1,H01,2,44,7,50,4,1
103,1,10,13,24,2,0,1,A02,1,29,7,50,4,2
103,1,10,13,24,2,0,1,H01,2,43,7,50,4,2
103,8,2,15,35,2,0,2,C03,1,19,8,50,3,2
103,8,2,15,35,2,0,2,C03,1,21,8,50,3,2
103,8,2,15,35,2,0,2,B03,1,38,8,50,3,2
103,7,24,13,38,2,0,1,B02,1,32,8,50,4,1
103,7,24,13,38,2,0,1,C03,1,38,8,50,4,1
103,8,15,13,45,2,0,1,B01,1,57,8,50,4,1
103,8,15,13,45,2,0,1,C03,1,39,8,50,4,1
103,8,20,11,40,2,0,2,C03,1,57,8,30,4,1
103,8,20,11,40,2,0,2,C03,2,54,8,30,4,1
103,8,2,8,54,2,0,1,C03,2,44,8,50,14,9
103,8,2,8,54,2,0,1,,3,,8,50,14,9
103,8,2,15,50,2,0,1,B03,1,65,8,50,4,1
103,8,2,15,50,2,0,1,H01,2,79,8,50,4,1
103,8,6,22,0,2,0,1,C03,1,24,7,50,8,11
103,8,6,22,0,2,0,1,C03,1,21,7,50,8,11
103,9,8,17,0,2,0,1,B03,1,28,8,50,3,9
103,9,8,17,0,2,0,1,C03,1,58,8,50,3,9
103,9,9,12,14,2,0,1,C03,1,24,8,50,3,2
103,5,24,10,23,2,0,1,C03,1,26,8,40,3,1
103,5,24,10,23,2,0,1,C03,1,30,8,40,3,1
103,5,24,10,23,2,0,1,A02,1,,8,40,3,1
103,7,10,8,20,2,0,3,F01,2,64,8,40,3,1
103,1,12,12,48,2,0,1,B03,1,35,8,50,12,11
103,1,12,12,48,2,0,1,C03,1,30,8,50,12,11
103,1,17,23,20,2,0,1,B01,1,42,7,50,14,9
103,1,17,23,20,2,0,1,C03,1,26,7,50,14,9
103,1,22,11,50,2,0,1,C03,2,60,8,40,4,1
103,1,22,11,50,2,0,1,C03,1,56,8,40,4,1
103,1,27,15,0,2,0,2,C03,1,51,8,50,4,1
103,1,27,15,0,2,0,2,C03,2,25,8,50,4,1
103,1,29,23,40,2,0,1,B01,1,58,8,50,4,2
103,1,29,23,40,2,0,1,H01,2,24,8,50,4,2
103,11,5,4,11,2,0,2,C03,2,52,8,50,4,1
103,11,5,4,11,2,0,2,C03,1,65,8,50,4,1
103,11,15,5,38,2,0,1,B03,1,19,6,50,4,1
103,11,15,5,38,2,0,1,F01,1,64,6,50,4,1
103,11,21,8,29,2,0,1,B03,1,27,8,50,4,9
103,11,21,8,29,2,0,1,C03,1,33,8,50,4,9
103,11,21,15,26,2,0,1,B03,1,41,8,50,4,1
103,11,21,15,26,2,0,1,C03,1,21,8,50,4,1
103,11,4,8,55,2,0,2,C03,1,62,8,50,4,2
103,11,4,8,55,2,0,2,F01,1,84,8,50,4,2
103,11,4,17,5,2,0,1,B03,1,47,7,50,3,1
103,11,4,17,5,2,0,1,C03,1,32,7,50,3,1
103,11,5,15,20,2,0,1,B03,2,33,8,50,3,1
103,11,5,15,20,2,0,1,F01,1,78,8,50,3,1
103,11,14,7,5,2,0,1,C03,1,18,8,50,14,9
103,11,14,7,5,2,0,1,H01,2,51,8,50,14,9
103,11,14,18,30,2,0,1,B02,1,41,7,50,3,1
103,11,14,18,30,2,0,1,C03,1,33,7,50,3,1
103,11,21,23,42,2,0,2,C03,1,18,7,50,14,9
103,11,21,23,42,2,0,2,H01,1,34,7,50,14,9
103,12,1,22,15,2,0,1,C03,1,,7,50,14,9
103,12,1,22,15,2,0,1,C03,2,24,7,50,14,9
103,12,1,22,15,2,0,1,C03,1,61,7,50,14,9
103,12,11,16,51,2,0,1,C03,2,24,6,50,10,9
103,12,11,16,51,2,0,1,,3,,6,50,10,9
103,12,15,21,20,2,0,2,C03,2,48,7,50,4,2
103,12,15,21,20,2,0,2,C03,1,19,7,50,4,2
103,12,15,21,20,2,0,2,B01,1,,7,50,4,2
103,12,16,19,30,2,0,4,C03,2,34,7,50,4,2
103,12,16,19,30,2,0,4,C03,2,35,7,50,4,2
103,12,16,19,30,2,0,4,C04,2,46,7,50,4,2
103,12,16,19,30,2,0,4,C03,1,20,7,50,4,2
103,12,27,15,10,2,0,1,B03,1,55,6,50,4,1
103,12,27,15,10,2,0,1,C03,1,29,6,50,4,1
103,6,3,17,27,2,0,1,B02,1,40,7,50,14,9
103,6,3,17,27,2,0,1,C03,1,22,7,50,14,9
103,11,10,16,30,2,0,1,C04,2,51,7,50,4,1
103,11,10,16,30,2,0,1,C03,1,19,7,50,4,1
103,6,30,17,25,2,0,1,B03,1,53,6,50,5,1
103,6,30,17,25,2,0,1,C03,2,52,6,50,5,1
103,7,3,22,50,2,0,1,B03,1,40,8,50,4,1
103,7,3,22,50,2,0,1,C03,1,18,8,50,4,1
103,7,5,4,25,2,0,1,B03,1,38,8,50,4,1
103,7,5,4,25,2,0,1,C03,2,18,8,50,4,1
103,7,9,16,23,2,0,2,F01,1,17,8,50,4,1
103,7,9,16,23,2,0,2,C03,1,31,8,50,4,1
103,7,9,16,23,2,0,2,H02,2,30,8,50,4,1
103,7,20,12,25,2,0,1,B03,1,21,8,50,4,1
103,7,20,12,25,2,0,1,C03,2,21,8,50,4,1
103,7,24,6,18,2,0,1,C03,1,28,8,50,4,1
