Year,Month,Day,Hour,Minute,Processing_class,death_toll,Injuries_Person,Vehicle_type,Sex,Age,Weather,Speed_limit,Road_pattern,Accident_location
101,10,3,10,40,2,0,1,B03,1,30,8,0,4,2
101,10,3,10,40,2,0,1,C03,1,23,8,0,4,2
101,1,29,12,30,2,0,2,C03,1,73,8,50,4,1
101,1,29,12,30,2,0,2,C03,1,33,8,50,4,1
101,2,2,23,50,2,0,1,B03,1,20,7,50,4,1
101,2,2,23,50,2,0,1,C03,1,20,7,50,4,1
101,2,3,14,30,2,0,1,B03,2,38,6,50,4,1
101,2,3,14,30,2,0,1,H01,2,71,6,50,4,1
101,2,3,17,55,2,0,1,G06,1,,6,40,14,11
101,2,3,17,55,2,0,1,C03,1,30,6,40,14,11
101,2,14,10,0,2,0,1,B03,1,45,8,50,14,9
101,2,14,10,0,2,0,1,F03,2,57,8,50,14,9
101,2,21,8,40,2,0,1,C03,1,19,8,50,14,9
101,2,21,8,40,2,0,1,C03,1,30,8,50,14,9
101,2,17,23,3,2,0,1,B03,1,,7,50,4,1
101,2,17,23,3,2,0,1,C03,2,27,7,50,4,1
101,2,26,22,45,2,0,2,C04,1,76,6,50,4,1
101,2,26,22,45,2,0,2,C03,1,32,6,50,4,1
101,3,6,20,20,2,0,2,C03,1,17,7,50,3,1
101,3,6,20,20,2,0,2,C03,1,32,7,50,3,1
101,3,7,23,30,2,0,1,B03,1,30,7,50,4,1
101,3,7,23,30,2,0,1,C03,1,28,7,50,4,1
101,2,11,14,26,2,0,1,H01,2,76,8,50,4,9
101,2,11,14,26,2,0,1,B03,1,33,8,50,4,9
101,2,19,19,10,2,0,1,C03,1,66,8,40,3,1
101,2,19,19,10,2,0,1,H01,2,54,8,40,3,1
101,3,16,15,20,2,0,2,C03,2,45,8,40,14,9
101,3,16,15,20,2,0,2,C03,1,19,8,40,14,9
101,3,21,16,3,2,0,1,C03,1,53,8,50,14,9
101,3,21,16,3,2,0,1,B03,1,47,8,50,14,9
101,2,17,17,15,2,0,1,G06,1,,7,50,3,1
101,2,17,17,15,2,0,1,C03,1,21,7,50,3,1
101,3,16,8,15,2,0,1,C03,1,58,7,50,4,1
101,3,16,8,15,2,0,1,C03,1,52,7,50,4,1
101,3,16,8,15,2,0,1,A12,1,,7,50,4,1
101,3,16,16,20,2,0,1,C03,1,66,8,30,14,9
101,3,16,16,20,2,0,1,C03,2,29,8,30,14,9
101,4,2,14,20,2,0,2,C04,2,38,8,50,4,1
101,4,2,14,20,2,0,2,C03,2,56,8,50,4,1
101,4,13,18,45,2,0,2,C03,1,56,7,50,14,9
101,4,13,18,45,2,0,2,F01,1,46,7,50,14,9
101,3,25,13,35,2,0,1,B03,1,53,8,50,4,2
101,3,25,13,35,2,0,1,C03,1,32,8,50,4,2
101,3,26,15,30,2,0,2,C03,1,25,8,40,8,11
101,3,26,15,30,2,0,2,C04,2,54,8,40,8,11
101,4,28,2,50,2,0,2,H02,2,27,6,50,4,1
101,4,28,2,50,2,0,2,H02,2,27,6,50,4,1
101,4,29,17,25,2,0,1,B03,1,27,6,50,14,9
101,4,29,17,25,2,0,1,C03,1,18,6,50,14,9
101,5,8,19,19,2,0,1,B01,1,59,8,50,4,1
101,5,8,19,19,2,0,1,C03,1,21,8,50,4,1
101,5,8,22,10,2,0,2,C03,1,31,8,50,14,11
101,5,8,22,10,2,0,2,F01,2,57,8,50,14,11
101,5,14,19,10,2,0,1,B03,2,54,8,50,14,9
101,4,20,22,25,2,0,1,B03,1,27,6,40,11,9
101,4,20,22,25,2,0,1,B03,1,27,6,40,11,9
101,4,20,22,25,2,0,1,B01,1,46,6,40,11,9
101,4,20,22,25,2,0,1,B03,1,61,6,40,11,9
101,10,26,18,30,2,0,1,C03,2,33,8,50,3,1
101,10,26,18,30,2,0,1,C04,2,45,8,50,3,1
101,11,9,15,20,2,0,1,B03,1,62,8,50,4,18
101,11,9,15,20,2,0,1,H01,2,71,8,50,4,18
101,11,9,22,10,2,0,2,B01,1,56,8,40,3,1
101,11,9,22,10,2,0,2,,3,,8,40,3,1
101,11,9,22,10,2,0,2,H02,2,41,8,40,3,1
101,4,13,22,15,2,0,1,C03,2,24,7,40,14,9
101,4,13,22,15,2,0,1,B03,1,24,7,40,14,9
101,4,15,2,20,2,0,1,C03,2,21,7,40,14,9
101,4,15,2,20,2,0,1,B01,1,36,7,40,14,9
101,4,16,12,14,2,0,1,B12,1,48,6,50,14,9
101,4,16,12,14,2,0,1,C04,2,58,6,50,14,9
101,4,23,19,25,2,0,2,C03,1,32,7,50,14,9
101,4,23,19,25,2,0,2,C03,1,70,7,50,14,9
101,1,21,20,35,2,0,2,B03,1,43,7,50,4,1
101,1,21,20,35,2,0,2,C03,1,21,7,50,4,1
101,1,21,20,35,2,0,2,H02,2,21,7,50,4,1
101,1,22,5,10,2,0,3,B12,1,63,6,50,4,1
101,1,22,5,10,2,0,3,C03,2,21,6,50,4,1
101,1,22,5,10,2,0,3,H02,2,24,6,50,4,1
101,1,29,4,0,2,0,2,C03,1,49,6,50,4,1
101,1,29,4,0,2,0,2,C03,1,28,6,50,4,1
101,1,31,11,30,2,0,1,B03,1,,7,50,4,1
101,1,31,11,30,2,0,1,C03,1,21,7,50,4,1
101,2,8,5,55,2,0,1,C03,2,58,7,50,4,1
101,2,8,5,55,2,0,1,B03,1,25,7,50,4,1
101,1,19,19,45,2,0,1,B03,1,28,7,30,14,9
101,1,19,19,45,2,0,1,C03,2,29,7,30,14,9
101,2,17,7,35,2,0,2,C03,1,48,7,40,3,1
101,2,17,7,35,2,0,2,F01,2,54,7,40,3,1
101,2,17,7,35,2,0,2,C03,1,52,7,40,3,1
101,2,18,10,41,2,0,3,C03,1,100,7,40,12,11
101,2,18,10,41,2,0,3,H02,1,16,7,40,12,11
101,2,18,10,41,2,0,3,H02,1,,7,40,12,11
101,3,2,18,35,2,0,2,C03,2,23,7,30,4,1
101,3,2,18,35,2,0,2,C03,1,35,7,30,4,1
101,3,12,8,30,2,0,1,B03,1,,7,50,4,1
101,3,12,8,30,2,0,1,C03,1,47,7,50,4,1
101,1,30,19,10,2,0,1,B03,1,,7,0,14,9
101,1,30,19,10,2,0,1,C03,1,34,7,0,14,9
101,1,18,8,25,2,0,2,C03,1,45,7,0,4,1
101,1,18,8,25,2,0,2,C03,2,40,7,0,4,1
101,2,25,23,7,2,0,1,C03,1,26,6,0,3,2
101,2,25,23,7,2,0,1,H01,2,56,6,0,3,2
101,3,6,22,10,2,0,1,B01,1,48,8,0,5,1
101,3,6,22,10,2,0,1,C03,1,19,8,0,5,1
101,3,21,10,45,2,0,2,B03,2,33,7,0,14,9
101,3,21,10,45,2,0,2,C03,1,30,7,0,14,9
101,3,21,10,45,2,0,2,H02,1,41,7,0,14,9
101,2,5,13,54,2,0,1,C04,2,41,8,50,14,9
101,2,5,13,54,2,0,1,B03,2,34,8,50,14,9
