Year,Month,Day,Hour,Minute,Processing_class,death_toll,Injuries_Person,Vehicle_type,Sex,Age,Weather,Speed_limit,Road_pattern,Accident_location
102,1,13,11,30,1,1,0,B01,1,51,6,50,4,2
102,1,13,11,30,1,1,0,C03,1,61,6,50,4,2
102,9,16,1,47,1,1,1,,3,,8,50,4,1
102,9,16,1,47,1,1,1,C03,1,20,8,50,4,1
102,9,16,1,47,1,1,1,C03,1,20,8,50,4,1
102,9,16,1,47,1,1,1,A04,1,25,8,50,4,1
102,12,31,8,38,1,1,1,B03,1,69,7,50,4,1
102,12,31,8,38,1,1,1,C03,1,20,7,50,4,1
102,12,31,8,38,1,1,1,H02,2,23,7,50,4,1
102,6,20,23,27,1,1,1,C03,1,23,8,50,14,8
102,6,20,23,27,1,1,1,F01,1,61,8,50,14,8
102,8,8,8,55,1,1,0,B03,1,44,8,50,4,2
102,8,8,8,55,1,1,0,H01,1,69,8,50,4,2
102,5,19,19,15,1,1,0,B03,1,44,8,50,4,2
102,5,19,19,15,1,1,0,H01,2,80,8,50,4,2
102,4,1,12,8,1,1,0,C03,1,46,7,50,3,2
102,4,1,12,8,1,1,0,,3,,7,50,3,2
102,2,22,6,20,1,1,0,B01,1,51,6,50,4,1
102,2,22,6,20,1,1,0,H01,2,70,6,50,4,1
102,12,29,0,30,1,1,0,C03,1,19,6,50,4,1
102,12,29,0,30,1,1,0,B03,1,37,6,50,4,1
102,9,12,15,34,1,1,1,C03,1,18,8,40,8,8
102,9,12,15,34,1,1,1,C03,1,77,8,40,8,8
102,10,12,11,0,1,1,1,C03,1,61,8,50,8,7
102,10,12,11,0,1,1,1,C03,1,56,8,50,8,7
102,7,18,15,26,1,1,2,C03,1,28,8,40,14,11
102,7,18,15,26,1,1,2,C03,1,62,8,40,14,11
102,7,18,15,26,1,1,2,C03,2,57,8,40,14,11
102,7,30,8,15,1,1,1,B12,1,80,8,60,11,7
102,7,30,8,15,1,1,1,H02,1,33,8,60,11,7
102,7,30,8,15,1,1,1,,3,,8,60,11,7
102,8,4,9,5,1,1,1,C03,1,21,8,40,8,11
102,8,4,9,5,1,1,1,C03,2,57,8,40,8,11
102,4,10,20,26,1,1,1,H01,1,83,8,50,4,2
102,4,10,20,26,1,1,1,C03,1,20,8,50,4,2
102,1,10,23,30,1,1,1,B03,1,32,7,50,16,7
102,1,10,23,30,1,1,1,C03,1,28,7,50,16,7
102,1,27,8,0,1,1,0,B01,1,64,6,50,4,1
102,1,27,8,0,1,1,0,C03,1,57,6,50,4,1
102,1,29,21,44,1,1,0,B03,1,30,8,50,14,9
102,1,29,21,44,1,1,0,C04,2,28,8,50,14,9
102,1,29,21,44,1,1,0,A04,1,46,8,50,14,9
102,4,19,9,31,1,1,0,A02,1,47,7,50,4,22
102,4,19,9,31,1,1,0,C03,1,22,7,50,4,22
102,3,31,12,15,1,1,0,B12,1,26,6,50,4,18
102,3,31,12,15,1,1,0,H01,2,27,6,50,4,18
102,3,12,16,37,1,1,0,B12,1,46,8,50,4,2
102,3,12,16,37,1,1,0,H01,2,85,8,50,4,2
102,3,5,9,20,1,1,0,A41,1,59,8,50,4,1
102,3,5,9,20,1,1,0,C03,1,39,8,50,4,1
102,4,4,2,12,1,1,0,C03,1,62,6,50,14,9
102,4,4,2,12,1,1,0,B01,1,42,6,50,14,9
102,7,26,19,22,1,1,0,B03,1,39,7,50,4,1
102,7,26,19,22,1,1,0,C03,1,46,7,50,4,1
102,7,20,8,20,1,1,0,B03,1,38,8,0,4,1
102,7,20,8,20,1,1,0,C03,1,40,8,0,4,1
102,9,8,12,55,1,1,0,B03,1,30,8,50,14,9
102,9,8,12,55,1,1,0,H01,2,79,8,50,14,9
102,9,6,7,35,1,1,1,B03,1,48,8,50,3,2
102,9,6,7,35,1,1,1,C03,1,17,8,50,3,2
102,9,6,7,35,1,1,1,H02,2,17,8,50,3,2
102,11,26,18,0,1,1,0,B03,1,64,8,50,14,10
102,11,26,18,0,1,1,0,A02,1,58,8,50,14,10
102,11,26,18,0,1,1,0,H01,1,62,8,50,14,10
102,12,18,16,30,1,1,1,B01,1,64,7,50,4,2
102,12,18,16,30,1,1,1,C03,1,28,7,50,4,2
102,12,18,16,30,1,1,1,C03,1,29,7,50,4,2
102,4,19,12,0,1,1,0,B01,1,59,7,50,4,1
102,4,19,12,0,1,1,0,H01,1,73,7,50,4,1
102,1,5,3,40,1,1,0,B12,1,59,6,50,4,2
102,1,5,3,40,1,1,0,H01,2,56,6,50,4,2
102,11,18,21,42,1,1,0,A02,2,40,7,40,3,2
102,11,18,21,42,1,1,0,C03,1,45,7,40,3,2
102,12,7,18,0,1,2,0,A12,1,36,8,50,4,2
102,12,7,18,0,1,2,0,H01,2,40,8,50,4,2
102,12,7,18,0,1,2,0,H01,2,11,8,50,4,2
102,11,13,13,13,1,1,0,B12,1,46,6,40,4,1
102,11,13,13,13,1,1,0,H01,1,79,6,40,4,1
102,9,26,20,30,1,1,3,C03,1,28,7,50,15,20
102,9,26,20,30,1,1,3,C03,1,20,7,50,15,20
102,9,26,20,30,1,1,3,C03,1,30,7,50,15,20
102,9,26,20,30,1,1,3,H01,1,87,7,50,15,20
102,1,12,5,10,1,1,0,B01,1,45,6,50,4,2
102,1,12,5,10,1,1,0,H01,1,68,6,50,4,2
102,2,23,15,14,1,1,0,A04,1,45,8,30,3,1
102,2,23,15,14,1,1,0,C03,1,75,8,30,3,1
102,9,27,9,55,1,1,1,H01,1,82,8,50,4,1
102,9,27,9,55,1,1,1,C03,1,19,8,50,4,1
102,5,15,7,28,1,1,0,C03,1,25,8,50,8,22
