Year,Month,Day,Hour,Minute,Processing_class,death_toll,Injuries_Person,Vehicle_type,Sex,Age,Weather,Speed_limit,Road_pattern,Accident_location
106,1,3,8,58,2,0,1,F01,2,70,8,50,14,9
106,1,3,8,58,2,0,1,C03,1,38,8,50,14,9
106,1,4,9,14,2,0,1,B03,1,38,8,50,14,9
106,1,4,9,14,2,0,1,C04,2,56,8,50,14,9
106,1,9,15,36,2,0,1,C03,1,21,8,40,4,2
106,1,9,15,36,2,0,1,C03,2,21,8,40,4,2
106,1,14,13,21,2,0,2,C03,1,19,7,50,4,1
106,1,14,13,21,2,0,2,C03,1,21,7,50,4,1
106,1,14,17,30,2,0,1,C03,1,55,7,50,14,9
106,1,14,17,30,2,0,1,B03,2,50,7,50,14,9
106,1,6,19,45,2,0,2,C03,1,21,8,50,4,1
106,1,6,19,45,2,0,2,C03,2,28,8,50,4,1
106,1,13,9,20,2,0,1,F01,1,106,6,0,4,2
106,1,13,9,20,2,0,1,C03,1,32,6,0,4,2
106,2,8,19,5,2,0,3,C03,1,44,6,40,5,2
106,2,8,19,5,2,0,3,C03,1,34,6,40,5,2
106,2,8,19,5,2,0,3,B03,1,50,6,40,5,2
106,2,8,19,5,2,0,3,C03,1,27,6,40,5,2
106,2,11,11,50,2,0,2,B03,1,33,8,50,5,2
106,2,11,11,50,2,0,2,C03,1,38,8,50,5,2
106,2,11,11,50,2,0,2,H02,2,60,8,50,5,2
106,2,14,23,27,2,0,1,B03,1,31,8,50,5,2
106,2,14,23,27,2,0,1,H01,2,45,8,50,5,2
106,1,3,7,50,2,0,1,C03,1,49,8,50,5,2
106,1,3,7,50,2,0,1,C03,1,33,8,50,5,2
106,1,3,7,50,2,0,1,C03,2,19,8,50,5,2
106,1,3,16,40,2,0,1,B03,1,21,8,40,5,1
106,1,3,16,40,2,0,1,C05,2,37,8,40,5,1
106,1,4,8,45,2,0,1,B03,1,53,8,50,5,2
106,1,4,8,45,2,0,1,C03,1,28,8,50,5,2
106,1,7,18,37,2,0,1,C03,1,32,8,0,5,1
106,1,7,18,37,2,0,1,B03,1,44,8,0,5,1
106,1,9,14,22,2,0,1,B03,1,24,8,50,5,2
106,1,9,14,22,2,0,1,C03,1,39,8,50,5,2
106,1,9,14,22,2,0,1,B01,1,53,8,50,5,2
106,1,17,23,17,2,0,2,C03,2,25,8,30,5,2
106,1,17,23,17,2,0,2,C03,1,33,8,30,5,2
106,1,18,22,25,2,0,3,C03,1,20,8,50,5,2
106,1,18,22,25,2,0,3,C03,2,23,8,50,5,2
106,1,18,22,25,2,0,3,H02,2,19,8,50,5,2
106,1,7,15,4,2,0,1,C03,1,36,8,50,4,1
106,1,7,15,4,2,0,1,B02,1,52,8,50,4,1
106,1,9,9,45,2,0,2,C03,1,21,8,50,4,1
106,1,9,9,45,2,0,2,C03,1,19,8,50,4,1
106,1,12,18,38,2,0,1,B03,1,35,8,0,14,9
106,1,12,18,38,2,0,1,C03,2,24,8,0,14,9
106,1,13,21,35,2,0,1,B01,1,54,6,50,14,9
106,1,13,21,35,2,0,1,C03,1,29,6,50,14,9
106,1,9,14,5,2,0,1,B03,1,78,8,50,4,1
106,1,9,14,5,2,0,1,C04,1,72,8,50,4,1
106,1,4,14,30,2,0,2,C03,1,20,8,50,4,1
106,1,4,14,30,2,0,2,B01,1,64,8,50,4,1
106,1,4,14,30,2,0,2,B03,1,39,8,50,4,1
106,1,4,14,30,2,0,2,H02,2,56,8,50,4,1
106,1,10,22,0,2,0,1,C03,2,34,7,50,3,1
106,1,10,22,0,2,0,1,C03,2,48,7,50,3,1
106,5,19,16,18,2,0,2,C03,1,54,7,50,3,1
106,5,19,16,18,2,0,2,H01,1,54,7,50,3,1
106,3,6,13,30,2,0,1,C03,1,24,7,50,14,9
106,3,6,13,30,2,0,1,C03,1,38,7,50,14,9
106,4,5,19,54,2,0,3,B03,1,27,7,50,4,1
106,4,5,19,54,2,0,3,C03,2,49,7,50,4,1
106,2,16,19,20,2,0,2,F01,1,75,8,30,3,1
106,2,6,9,43,2,0,1,C03,1,24,8,40,4,2
106,2,6,9,43,2,0,1,C03,1,24,8,40,4,2
106,2,10,19,15,2,0,1,C03,1,29,7,40,3,1
106,2,10,19,15,2,0,1,C03,2,35,7,40,3,1
106,2,13,12,22,2,0,1,B03,1,72,8,50,14,9
106,2,13,12,22,2,0,1,C03,1,18,8,50,14,9
106,2,17,6,5,2,0,1,B01,1,66,7,30,4,1
106,1,4,12,37,2,0,1,B12,2,39,8,50,4,1
