Year,Month,Day,Hour,Minute,Processing_class,death_toll,Injuries_Person,Vehicle_type,Sex,Age,Weather,Speed_limit,Road_pattern,Accident_location
107,3,29,15,54,2,0,1,B03,2,41,8,50,14,9
107,3,29,15,54,2,0,1,C03,2,58,8,50,14,9
107,1,7,17,42,2,0,1,B01,1,59,6,40,4,2
107,1,7,17,42,2,0,1,C03,1,18,6,40,4,2
107,1,14,9,56,2,0,1,C03,1,20,8,50,4,1
107,1,14,9,56,2,0,1,B03,2,49,8,50,4,1
107,1,27,10,28,2,0,2,C03,1,17,8,50,3,2
107,1,27,10,28,2,0,2,C03,1,22,8,50,3,2
107,7,27,13,42,2,0,2,C03,2,26,6,0,14,9
107,7,27,13,42,2,0,2,C03,1,26,6,0,14,9
107,8,16,7,35,2,0,2,C03,1,29,8,50,14,9
107,8,16,7,35,2,0,2,C03,1,46,8,50,14,9
107,8,16,7,35,2,0,2,A02,1,54,8,50,14,9
107,3,14,21,49,2,0,1,B01,1,61,7,50,14,9
107,3,14,21,49,2,0,1,C03,2,31,7,50,14,9
107,4,16,20,14,2,0,1,B03,1,52,7,50,4,1
107,4,16,20,14,2,0,1,C03,1,20,7,50,4,1
107,5,26,11,10,2,0,1,B01,1,61,8,50,4,1
107,5,26,11,10,2,0,1,C03,1,24,8,50,4,1
107,6,18,15,49,2,0,1,B03,1,53,7,40,4,1
107,6,18,15,49,2,0,1,C03,2,20,7,40,4,1
107,1,4,11,44,2,0,1,B03,1,40,8,30,14,9
107,1,4,11,44,2,0,1,F01,2,69,8,30,14,9
107,1,24,11,11,2,0,1,B03,1,49,8,30,3,2
107,1,24,11,11,2,0,1,C03,1,22,8,30,3,2
107,1,24,13,52,2,0,2,B12,1,41,8,50,5,2
107,1,24,13,52,2,0,2,C03,2,21,8,50,5,2
107,1,24,13,52,2,0,2,H02,2,21,8,50,5,2
107,2,4,19,45,2,0,1,B01,1,60,6,50,5,2
107,2,4,19,45,2,0,1,C03,1,22,6,50,5,2
107,2,5,5,13,2,0,1,F01,1,84,6,0,5,2
107,2,5,5,13,2,0,1,C03,4,0,6,0,5,2
107,2,5,5,13,2,0,1,H02,2,80,6,0,5,2
107,2,11,18,54,2,0,3,C03,2,28,8,50,5,2
107,2,11,18,54,2,0,3,C03,2,62,8,50,5,2
107,2,11,18,54,2,0,3,H02,2,18,8,50,5,2
107,2,13,13,10,2,0,1,C03,1,19,8,0,14,7
107,2,13,13,10,2,0,1,B03,1,57,8,0,14,7
107,3,6,10,50,2,0,2,B12,1,62,8,50,5,2
107,3,6,10,50,2,0,2,C03,1,62,8,50,5,2
107,3,6,10,50,2,0,2,H02,2,59,8,50,5,2
107,3,12,12,40,2,0,1,B03,1,30,8,50,5,2
107,3,12,12,40,2,0,1,C03,2,25,8,50,5,2
107,3,17,17,0,2,0,1,B12,1,27,8,50,14,8
107,3,17,17,0,2,0,1,C03,2,65,8,50,14,8
107,3,23,0,0,2,0,1,C03,1,25,8,0,5,2
107,3,23,0,0,2,0,1,B03,1,35,8,0,5,2
107,3,30,17,25,2,0,1,B03,1,23,8,50,5,2
107,3,30,17,25,2,0,1,C03,1,60,8,50,5,2
107,4,18,10,55,2,0,1,B02,2,47,8,50,4,2
107,4,18,10,55,2,0,1,C03,1,49,8,50,4,2
